"All Power Readings as of date(2016-01-08)"
Panel,Circuit,Reading,Reading%,Amps,Volts,On/Off,Date
1,1,1.33,6.650%,20,120,On,2015-10-23
1,3,0.00,0.000%,20,120,On,2015-10-23
1,5,9.22,46.10%,20,120,On,2015-10-23
1,7,10.22,51.10%,20,120,On,2015-10-23
1,9,9.38,46.90%,20,120,On,2015-10-23
1,11,10.33,51.65%,20,120,On,2015-10-23
1,13,10.26,51.30%,20,120,On,2015-10-23
1,15,10.74,53.70%,20,120,On,2015-10-23
1,17,8.45,42.25%,20,120,On,2015-10-23
1,19,2.65,13.25%,20,120,On,2015-10-23
1,21,5.38,26.90%,20,120,On,2015-10-23
1,23,3.53,17.65%,20,120,On,2015-10-23
1,25,0.00,0.000%,20,120,Off,2015-04-07
1,27,9.55,47.75%,20,120,On,2015-10-23
1,29,9.53,47.65%,20,120,On,2015-10-23
1,31,1.19,5.950%,20,120,On,2015-10-23
1,33,3.25,16.25%,20,120,On,2015-10-23
1,35,2.35,11.75%,20,120,On,2015-10-23
1,37,0.00,0.000%,20,120,Off,2015-04-07
1,39,0.00,0.000%,20,120,Off,2015-04-07
11,1,0.00,0.000%,20,120,Off,2014-01-31
11,2,4.69,23.45%,20,120,On,2015-10-23
11,3,0.00,0.000%,20,120,Off,2014-01-31
11,4,0.00,0.000%,20,120,On,2015-07-14
11,5,0.00,0.000%,20,120,Off,2014-01-31
11,6,2.53,12.65%,20,120,On,2015-10-23
11,7,0.00,0.000%,20,120,Off,2014-01-31
11,8,0.00,0.000%,20,120,On,2015-10-23
11,9,6.55,32.75%,20,120,On,2015-07-14
11,10,6.83,34.15%,20,120,On,2015-10-23
11,11,4.82,24.10%,20,120,On,2015-07-14
11,12,4.55,22.75%,20,120,On,2015-10-23
11,13,0.00,0.000%,20,120,Off,2014-01-31
11,14,12.85,64.25%,20,120,On,2015-10-23
11,15,0.00,0.000%,20,120,Off,2014-01-31
11,16,14.95,74.75%,20,120,On,2015-10-23
11,17,9.32,46.60%,20,120,On,2015-10-23
11,18,6.25,31.25%,20,120,On,2015-10-23
